version,hilos,N,ancho,alto,schedule,t_medio_ms,t_mediana_ms,desv_ms,t_min_ms,t_max_ms,fps,speedup,eficiencia,muestras_ms
v0,1,64,640,480,-,1057.2101,1066.0208,165.1399,781.0988,1290.1650,0.9460,1.0000,1.0000,781.0988;1062.5165;1164.5119;1069.5250;1290.1650;1247.9546;1120.6024;1056.2557;831.6697;947.8014
v1,8,64,640,480,static-collapse2,134.4815,131.8080,11.9404,119.2082,155.6432,7.4360,7.8614,0.9827,122.8913;131.6828;139.2724;125.7249;148.7419;155.6432;131.9332;119.2082;126.1946;143.5222
v2,8,64,640,480,static,144.2748,138.8187,12.7474,132.6513,173.1249,6.9310,7.3278,0.9160,173.1249;138.6080;132.6513;157.0374;137.4019;147.2446;148.8578;134.0094;134.7835;139.0295
v3,8,64,640,480,static,126.1801,123.5409,7.4626,114.8882,141.5296,7.9250,8.3786,1.0473,141.5296;122.5327;130.8040;122.2029;114.8882;122.9895;128.9124;132.6027;121.2466;124.0923
v3-fast,8,64,640,480,static,60.7346,55.0577,14.8387,46.2913,87.0448,16.4650,17.4070,2.1759,50.2599;86.9816;87.0448;61.1005;56.6229;63.9797;52.2481;46.2913;49.3244;53.4926
v0,1,64,1280,720,-,2815.3547,2716.3799,290.7927,2513.8988,3313.7920,0.3550,1.0000,1.0000,3143.8456;2622.7305;3064.1686;2541.4503;2998.2669;3313.7920;2693.4480;2513.8988;2739.3118;2522.6349
v1,8,64,1280,720,static-collapse2,614.5314,599.6102,75.2047,515.7064,747.1979,1.6270,4.5813,0.5727,549.8086;563.0092;605.8210;655.0556;515.7064;593.3994;607.1828;578.7450;729.3883;747.1979
v2,8,64,1280,720,static,502.8502,505.2662,62.4284,412.4225,610.8944,1.9890,5.5988,0.6998,562.0777;553.8128;471.3591;610.8944;502.6421;510.3317;415.7738;481.2980;412.4225;507.8904
v3,8,64,1280,720,static,401.1586,395.1484,33.4917,360.5438,463.6068,2.4930,7.0181,0.8773,393.5309;431.3961;399.8633;439.3019;374.2449;384.0371;463.6068;368.2949;396.7659;360.5438
v3-fast,8,64,1280,720,static,164.8268,165.7569,7.9503,151.6094,173.9136,6.0670,17.0807,2.1351,167.8395;156.1115;163.6743;169.3524;173.3284;173.9136;172.8371;151.6094;156.8190;162.7826
v0,1,64,1920,1080,-,6841.6977,6905.9966,620.2655,5474.3958,7615.3380,0.1460,1.0000,1.0000,5474.3958;7007.0810;6231.9450;6715.5467;7184.0552;6804.9122;6779.4719;7173.5423;7615.3380;7430.6889
v1,8,64,1920,1080,static-collapse2,939.6488,928.4185,105.0227,824.4630,1196.7280,1.0640,7.2811,0.9101,864.3710;1196.7280;932.4739;976.5491;849.0389;891.8778;983.5048;824.4630;924.3631;953.1186
v2,8,64,1920,1080,static,884.2418,869.7836,92.4803,798.1223,1123.0038,1.1310,7.7374,0.9672,916.2565;824.9392;889.6118;865.4291;817.3282;874.1381;831.8891;798.1223;1123.0038;901.7003
v3,8,64,1920,1080,static,865.1882,850.8335,55.1671,791.2563,959.8902,1.1560,7.9078,0.9885,812.5559;821.2048;791.2563;885.6753;845.2811;848.1677;853.4994;945.4940;888.8574;959.8902
v3-fast,8,64,1920,1080,static,344.3321,340.1631,35.7476,308.2037,415.2677,2.9040,19.8695,2.4837,310.2052;346.8817;308.2037;321.1779;358.2395;310.1305;388.1747;351.5954;333.4444;415.2677
v2,8,64,800,600,static:8,231.3697,223.5110,22.1141,202.3305,264.5841,4.3220,6.2423,0.7803,207.5680;222.3302;219.4892;202.3305;224.6918;252.8775;257.6641;246.3567;215.8045;264.5841
v2,8,64,800,600,dynamic:1,199.3607,193.3773,18.0731,181.8095,234.5122,5.0160,7.2446,0.9056,182.8894;187.8666;194.5673;192.1873;197.6272;181.8095;185.4958;216.9775;219.6737;234.5122
v2,8,64,800,600,dynamic:4,232.5860,230.8580,33.9480,189.1835,307.4276,4.2990,6.2097,0.7762,232.1346;233.6868;229.5813;262.6400;307.4276;214.7998;189.1835;217.4824;242.7483;196.1756
v2,8,64,800,600,dynamic:16,213.1826,214.2394,20.3318,186.8523,245.9199,4.6910,6.7749,0.8469,235.6768;245.9199;232.0225;195.3712;196.2280;219.1058;211.8986;192.1705;186.8523;216.5801
v2,8,64,800,600,guided,198.1528,190.3278,21.5383,177.8311,240.0119,5.0470,7.2888,0.9111,179.2142;181.6493;192.4708;240.0119;201.9579;177.8311;188.1848;224.8674;213.7736;181.5668
v3,8,64,800,600,static:8,223.9228,226.9184,17.1140,198.3427,249.0405,4.4660,6.4499,0.8062,225.5976;218.6379;228.2393;235.4631;232.7791;202.5008;249.0405;198.3427;206.5573;242.0700
v3,8,64,800,600,dynamic:1,214.4257,213.2501,28.7328,172.1260,260.8805,4.6640,6.7356,0.8420,260.8805;242.9812;235.0202;200.5267;221.0471;205.4531;228.1084;174.0336;172.1260;204.0800
v3,8,64,800,600,dynamic:4,210.2660,210.0882,20.3752,183.8393,242.1769,4.7560,6.8689,0.8586,190.3546;183.8393;189.6954;229.4532;242.1769;235.0311;197.4817;214.4514;205.7535;214.4229
v3,8,64,800,600,dynamic:16,190.5661,191.6521,7.3104,177.1898,201.1150,5.2480,7.5789,0.9474,184.3234;195.6578;187.6920;193.2849;192.1518;201.1150;198.8080;184.2858;191.1525;177.1898
v3,8,64,800,600,guided,177.5088,173.4496,10.0608,170.0700,196.7847,5.6340,8.1364,1.0171,170.1484;170.0700;171.7815;173.6855;176.5501;173.2137;195.6061;196.7847;175.2706;171.9774
